,type,features,nom,id,essonne,cpts,cpts_code,indicateur_1,indicateur_2,indicateur_3,indicateur_4
14991,FeatureCollection,"{'type': 'Feature', 'geometry': {'type': 'Polygon', 'coordinates': [[[2.4506376580996125, 48.36716142652912], [2.4298322285044196, 48.362015783117755], [2.427873892841397, 48.363319919954925], [2.440382423879907, 48.37162095945482], [2.44206481091161, 48.38105774335866], [2.462118384503268, 48.398496439955714], [2.473831970926824, 48.390388855265016], [2.483128815474147, 48.38457277694342], [2.46921772462766, 48.37645004114287], [2.451461234157171, 48.374938670312275], [2.4506376580996125, 48.36716142652912]]]}, 'properties': {'code': '91463', 'nom': 'Oncy-sur-École'}}",Oncy-sur-École,91463,True,Val d Essonne et des 2 Vallées,9,6,8,6,8
14992,FeatureCollection,"{'type': 'Feature', 'geometry': {'type': 'Polygon', 'coordinates': [[[2.2032077669811954, 48.39541078887325], [2.1900426530562718, 48.38880765667035], [2.1275828851921528, 48.39270112382732], [2.140408242150353, 48.410582137036194], [2.1599680665186236, 48.416183485575985], [2.2032077669811954, 48.39541078887325]]]}, 'properties': {'code': '91469', 'nom': 'Ormoy-la-Rivière'}}",Ormoy-la-Rivière,91469,True,PEPS,5,6,1,0,7
14993,FeatureCollection,"{'type': 'Feature', 'geometry': {'type': 'Polygon', 'coordinates': [[[2.3368615376560897, 48.65030936920091], [2.3553954970062794, 48.641227013024064], [2.349942576141706, 48.620184434301926], [2.3304993772437657, 48.6202296430964], [2.328527424485274, 48.63434118877053], [2.3090402615310985, 48.64553677534408], [2.297856500438116, 48.64440996334602], [2.298933805387307, 48.650119261409316], [2.3094449429957047, 48.65704392562979], [2.3187420790731403, 48.66564274790134], [2.3368615376560897, 48.65030936920091]]]}, 'properties': {'code': '91549', 'nom': 'Sainte-Geneviève-des-Bois'}}",Sainte-Geneviève-des-Bois,91549,True,Val d Orge,10,4,7,9,7
14994,FeatureCollection,"{'type': 'Feature', 'geometry': {'type': 'Polygon', 'coordinates': [[[2.373362427118079, 48.43411971429808], [2.3559162482617992, 48.42576732183786], [2.3575325929209785, 48.41960431290066], [2.3323401205366325, 48.412051810921625], [2.3248368226318097, 48.42491076666703], [2.3286212848671144, 48.4334071696729], [2.353154712086234, 48.4513477620477], [2.3624791403929195, 48.44860027886178], [2.373362427118079, 48.43411971429808]]]}, 'properties': {'code': '91639', 'nom': 'Vayres-sur-Essonne'}}",Vayres-sur-Essonne,91639,True,Val d Essonne et des 2 Vallées,9,7,9,4,6
15516,FeatureCollection,"{'type': 'Feature', 'geometry': {'type': 'Polygon', 'coordinates': [[[2.2029727633850356, 48.6283769756652], [2.2254961258490313, 48.62857952739662], [2.236369123525524, 48.612538856239894], [2.2429001629479366, 48.60369295932137], [2.2348956939118882, 48.588969894787596], [2.2136357781962617, 48.58251631849728], [2.203207436168759, 48.58443501961772], [2.2022334476932817, 48.59808849097675], [2.2133387535731073, 48.606811685165276], [2.1990249585383013, 48.6176638570633], [2.2029727633850356, 48.6283769756652]]]}, 'properties': {'code': '91461', 'nom': 'Ollainville'}}",Ollainville,91461,True,Sud Hurepoix,8,3,1,3,9
16035,FeatureCollection,"{'type': 'Feature', 'geometry': {'type': 'Polygon', 'coordinates': [[[2.198514645416659, 48.575668582994176], [2.2111183624632913, 48.569617645787375], [2.2018841719744384, 48.55648498199178], [2.1882094873466125, 48.546937620011505], [2.173517459333104, 48.55154135892082], [2.1814657643089306, 48.56405576685599], [2.198514645416659, 48.575668582994176]]]}, 'properties': {'code': '91581', 'nom': 'Saint-Yon'}}",Saint-Yon,91581,True,Sud Hurepoix,8,0,9,3,7
16036,FeatureCollection,"{'type': 'Feature', 'geometry': {'type': 'Polygon', 'coordinates': [[[2.325042593640293, 48.71092273556821], [2.323989646311669, 48.71824742238389], [2.3017387566500322, 48.719675369706856], [2.303837317833271, 48.72949174787579], [2.314443701257945, 48.7304256109259], [2.3207180175230313, 48.74875623508064], [2.3307504835003887, 48.74810233118569], [2.3539482151185047, 48.73866005105349], [2.345972119843125, 48.73164589757381], [2.344130876678268, 48.71693867375812], [2.325042593640293, 48.71092273556821]]]}, 'properties': {'code': '91689', 'nom': 'Wissous'}}",Wissous,91689,True,Sans Cpts,6,7,7,4,8
16566,FeatureCollection,"{'type': 'Feature', 'geometry': {'type': 'Polygon', 'coordinates': [[[2.071615030046243, 48.39259097354121], [2.0767684965847355, 48.41223613581114], [2.094555476435596, 48.41291308571504], [2.1064930610368373, 48.427776769672455], [2.109965107376185, 48.440677500002245], [2.078499451232458, 48.45765737475227], [2.0822177282478966, 48.45928761322621], [2.1147822515855865, 48.46214396246326], [2.123897760161376, 48.44847349114991], [2.1362274462807407, 48.45282834544867], [2.164839424151789, 48.45409472059104], [2.1743078913564657, 48.45059825030526], [2.1734626917814186, 48.43813180078082], [2.195520592664566, 48.42752292313633], [2.2081869861934074, 48.40892596344303], [2.221074424800409, 48.39679809876571], [2.2328187527491314, 48.396532781871926], [2.2185158606941133, 48.394415030508405], [2.2032077669811954, 48.39541078887325], [2.1599680665186236, 48.416183485575985], [2.140408242150353, 48.410582137036194], [2.1275828851921528, 48.39270112382732], [2.1256468681325944, 48.38645177900922], [2.0951460680330674, 48.38409952355093], [2.071615030046243, 48.39259097354121]]]}, 'properties': {'code': '91223', 'nom': 'Étampes'}}",Étampes,91223,True,PEPS,5,9,7,3,3
16567,FeatureCollection,"{'type': 'Feature', 'geometry': {'type': 'Polygon', 'coordinates': [[[2.1872987030165647, 48.51828762506542], [2.1926401188913145, 48.54253272111631], [2.2082303697488355, 48.53378539179508], [2.2034666907335163, 48.51655284725087], [2.1872987030165647, 48.51828762506542]]]}, 'properties': {'code': '91378', 'nom': 'Mauchamps'}}",Mauchamps,91378,True,Sud Hurepoix,8,7,6,6,3
16568,FeatureCollection,"{'type': 'Feature', 'geometry': {'type': 'Polygon', 'coordinates': [[[2.4498038280542347, 48.484338945705645], [2.436206435392208, 48.480298829873], [2.415182817978243, 48.48112378754634], [2.3959153744892334, 48.48802646458952], [2.406526844819746, 48.502284962674025], [2.418265486011338, 48.50455606421912], [2.4406373311822054, 48.49496564257774], [2.4498038280542347, 48.484338945705645]]]}, 'properties': {'code': '91412', 'nom': 'Mondeville'}}",Mondeville,91412,True,Val d Essonne et des 2 Vallées,9,1,9,1,5
